carrier_service_id,n_group,r2,coef_distance_km,pval_distance_km
15,3494530,0.5366538096946877,0.005050013183017301,0.0
9,232848,0.2514276831139206,0.006805608097312818,0.0
8,573586,0.47545290042103294,0.004066065417645664,0.0
7,2712383,0.4484429125811621,0.004118203478001903,0.0
18,737982,0.6202398719469995,0.004260402856856896,0.0
6,897671,0.5978975382907032,0.002681071346133418,0.0
17,2009359,0.6642769146926877,0.0026845907356924715,0.0
11,148787,0.2505252279578063,0.005768979939600997,0.0
16,590882,0.686154879574038,0.004767889545368615,0.0
12,46258,0.788761340938067,0.5781929509469695,0.0
10,19296,0.7924707955360126,0.7356769185917246,0.0
13,151376,0.6669412809342126,0.010015459429546538,0.0
5,94329,0.2870994874319638,0.0072977352873869715,0.0
14,59438,0.7520387374235091,0.005310432554434569,0.0
3,87,0.859929215445981,0.005120253117974169,1.8127665469542825e-38
2,1344,0.7479450730225093,0.0104115777220276,0.0
1,2713,0.424828922024727,0.01611195793967831,0.0
4,5103,0.6869794436406935,0.0865141041894207,0.0
