carrier_service_id_anon,dist_bin,n_group,share_in_bin,r_p002,r_p005,r_p010,r_p020,r_p035,r_p050,r_p065,r_p080,r_p090,r_p095,r_p098
15,1,787217,0.26723060430424794,1.0028621861451557,0.9905505117760639,0.9768692499366933,0.9802334465504173,0.9723374387051179,0.8557949109288501,0.9927960476268239,1.0259226602112776,1.0306882396475008,1.0472875249116367,1.151469688939134
8,1,156269,0.05304745617030695,0.957845835514471,0.9427131064077161,0.9182241727929334,0.8698185510726298,0.8719274889958278,0.7282499968050371,0.7629789880669321,0.8238732400078757,0.8387331400770437,0.8354390563472327,0.8251891232538924
18,1,121202,0.04114352675676905,1.14207250751106,1.5304599344944891,1.5380723988021014,1.415448853708169,1.4134638613202513,1.2711118529333476,1.2673453502839058,1.2016827075024143,1.1745602230027794,1.1688877353165268,1.1581585657390805
6,1,415019,0.14088336274209612,1.14019250673587,1.124145281454428,1.2780722437066332,1.0150549492037622,0.9681568193176583,0.8075660100622711,0.931728224873276,0.9765863336589174,0.969321719796891,0.8801325444098552,0.8683455840024514
17,1,511822,0.17374434540439143,1.1022992736185173,1.3819121739271314,1.4599638199822174,1.2277242919982863,1.3532191728441794,1.1409040109558837,1.1895589864748526,1.0420585486106546,1.03105602077158,1.0235588327821232,1.019505940321036
7,1,677468,0.2299749408826159,1.0150255084455937,0.9946006289383897,0.9712445687040973,0.9727049524024154,0.9572512239502972,0.8525406441053537,0.9628296409871702,0.9752155695434027,0.9825984283542235,0.9817270679740132,0.9368663069361015
16,1,178479,0.06058691698174439,1.0371590121265601,1.0579686587307422,1.327697492419027,1.1358208609384168,1.0929185235168555,1.0426813151871215,0.9850350540145489,0.9722934165998941,0.9715932995000541,0.8954516319192327,0.8767186688914023
13,1,18944,0.006430776479597968,1.0183185318956103,1.011298778390115,0.9919961521874013,0.9670849424886522,0.9471660309820826,0.8346312511442342,0.9684931843302055,0.9950732752033982,0.9749332351489348,0.8743713749233842,0.8369986848812281
9,1,39158,0.013292670259084524,0.8436180690576868,0.830351290401901,0.7950169748285765,0.6298163248569519,0.5948155266986175,0.5,0.5,0.5,0.5,0.5,0.5
11,1,24241,0.008228909028818324,0.8428692919976223,0.8197050943557787,0.7871931950603606,0.6325768773916963,0.6054254528537736,0.5,0.5,0.5,0.5,0.5,0.5
