dc_id,region_id,carrier_service_id,zip3,allowed_state_count,allowed_states,has_coverage
1,7,1,731,0,,False
1,7,2,731,0,,False
1,7,3,731,0,,False
1,7,4,731,2,LA|TX,True
1,7,5,731,25,CA|CO|CT|FL|GA|IL|KS|LA|MI|MN|MO|MS|NC|NJ|NM|NY|OH|OR|PA|TX|UT|VA|WA|WV|WY,True
1,7,6,731,26,AL|AR|CT|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
1,7,7,731,0,,False
1,7,8,731,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
1,7,9,731,35,AL|AR|AZ|CA|CO|CT|FL|GA|IA|IL|KS|KY|LA|MA|MD|MI|MN|MO|MS|NC|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|TN|TX|UT|WA|WI,True
1,7,10,731,6,CA|CT|IL|NY|OK|TX,True
1,7,11,731,25,AR|AZ|CA|CO|FL|GA|IL|KS|LA|MA|MN|MO|MS|NC|NE|NJ|NY|OK|OR|PA|RI|TN|TX|VA|WA,True
1,7,12,731,7,AL|CA|CO|LA|OK|TX|UT,True
1,7,13,731,0,,False
1,7,14,731,0,,False
1,7,15,731,0,,False
1,7,16,731,0,,False
1,7,17,731,0,,False
1,7,18,731,0,,False
2,2,1,112,0,,False
2,2,2,112,0,,False
2,2,3,112,0,,False
2,2,4,112,3,MA|MD|NY,True
2,2,5,112,17,CA|CT|DC|FL|GA|IL|IN|LA|MA|MD|MN|MO|NC|NJ|NY|PA|WV,True
2,2,6,112,26,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TX|VA|VT|WI|WV,True
2,2,7,112,0,,False
2,2,8,112,7,AZ|CA|CO|ID|OR|UT|WA,True
2,2,9,112,30,AL|AR|AZ|CA|CT|DC|DE|FL|GA|IL|IN|MA|MD|ME|MI|MN|MO|NC|NH|NJ|NY|OH|OR|PA|SC|TX|UT|VA|WA|WI,True
2,2,10,112,3,IN|NJ|NY,True
2,2,11,112,20,CA|DE|FL|GA|IL|LA|MA|MD|ME|MI|MO|NC|NJ|NY|OH|PA|RI|TN|TX|VA,True
2,2,12,112,3,FL|NY|TX,True
2,2,13,112,0,,False
2,2,14,112,0,,False
2,2,15,112,0,,False
2,2,16,112,0,,False
2,2,17,112,0,,False
2,2,18,112,0,,False
3,3,1,606,0,,False
3,3,2,606,0,,False
3,3,3,606,0,,False
3,3,4,606,3,AL|IL|MI,True
3,3,5,606,20,CA|FL|GA|IL|IN|KS|MA|MD|MI|MN|MO|NC|NJ|NY|OR|TX|WA|WI|WV|WY,True
3,3,6,606,26,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
3,3,7,606,0,,False
3,3,8,606,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
3,3,9,606,39,AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|IA|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|NC|NE|NH|NJ|NV|NY|OH|OK|OR|PA|SC|TN|TX|UT|WA|WI,True
3,3,10,606,6,CT|DC|IL|IN|MI|NJ,True
3,3,11,606,30,AL|AR|AZ|CA|DE|FL|GA|HI|IL|KY|LA|MA|MD|MI|MN|MO|MS|NC|NE|NJ|NY|OH|OK|PA|RI|SC|TN|TX|UT|WA,True
3,3,12,606,5,FL|IL|NV|PA|WA,True
3,3,13,606,0,,False
3,3,14,606,0,,False
3,3,15,606,0,,False
3,3,16,606,0,,False
3,3,17,606,0,,False
3,3,18,606,0,,False
4,4,1,903,0,,False
4,4,2,903,0,,False
4,4,3,903,0,,False
4,4,4,903,0,,False
4,4,5,903,0,,False
4,4,6,903,0,,False
4,4,7,903,0,,False
4,4,8,903,0,,False
4,4,9,903,0,,False
4,4,10,903,0,,False
4,4,11,903,0,,False
4,4,12,903,0,,False
4,4,13,903,0,,False
4,4,14,903,0,,False
4,4,15,903,0,,False
4,4,16,903,0,,False
4,4,17,903,0,,False
4,4,18,903,0,,False
5,5,1,289,0,,False
5,5,2,289,0,,False
5,5,3,289,0,,False
5,5,4,289,0,,False
5,5,5,289,0,,False
5,5,6,289,0,,False
5,5,7,289,0,,False
5,5,8,289,0,,False
5,5,9,289,0,,False
5,5,10,289,0,,False
5,5,11,289,0,,False
5,5,12,289,0,,False
5,5,13,289,0,,False
5,5,14,289,0,,False
5,5,15,289,0,,False
5,5,16,289,0,,False
5,5,17,289,0,,False
5,5,18,289,0,,False
6,2,1,065,0,,False
6,2,2,065,0,,False
6,2,3,065,0,,False
6,2,4,065,0,,False
6,2,5,065,0,,False
6,2,6,065,0,,False
6,2,7,065,0,,False
6,2,8,065,0,,False
6,2,9,065,0,,False
6,2,10,065,0,,False
6,2,11,065,0,,False
6,2,12,065,0,,False
6,2,13,065,0,,False
6,2,14,065,0,,False
6,2,15,065,0,,False
6,2,16,065,0,,False
6,2,17,065,0,,False
6,2,18,065,0,,False
7,7,1,758,0,,False
7,7,2,758,0,,False
7,7,3,758,0,,False
7,7,4,758,0,,False
7,7,5,758,0,,False
7,7,6,758,0,,False
7,7,7,758,0,,False
7,7,8,758,0,,False
7,7,9,758,0,,False
7,7,10,758,0,,False
7,7,11,758,0,,False
7,7,12,758,0,,False
7,7,13,758,0,,False
7,7,14,758,0,,False
7,7,15,758,0,,False
7,7,16,758,0,,False
7,7,17,758,0,,False
7,7,18,758,0,,False
8,7,1,770,0,,False
8,7,2,770,0,,False
8,7,3,770,0,,False
8,7,4,770,5,AL|CA|LA|TX|WA,True
8,7,5,770,33,AL|AZ|CA|CO|CT|DC|FL|GA|IL|IN|KS|LA|MA|MD|MI|MN|MO|MS|NC|NH|NJ|NM|NY|OR|PA|SC|TX|UT|VA|WA|WI|WV|WY,True
8,7,6,770,28,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|VA|VT|WI|WV,True
8,7,7,770,0,,False
8,7,8,770,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
8,7,9,770,40,AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|IA|IL|IN|KS|KY|LA|MA|MD|MI|MN|MO|MS|NC|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
8,7,10,770,8,CA|CT|DC|GA|IL|IN|NY|TX,True
8,7,11,770,35,AL|AR|AZ|CA|CO|DE|FL|GA|HI|IL|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|NC|NE|NJ|NY|OH|OK|OR|PA|RI|SC|TN|TX|UT|VA|WA,True
8,7,12,770,11,AL|CA|CO|FL|GA|LA|NV|PA|TX|UT|WA,True
8,7,13,770,0,,False
8,7,14,770,0,,False
8,7,15,770,0,,False
8,7,16,770,0,,False
8,7,17,770,0,,False
8,7,18,770,0,,False
9,9,1,983,0,,False
9,9,2,983,0,,False
9,9,3,983,0,,False
9,9,4,983,2,CA|WA,True
9,9,5,983,19,AL|AZ|CA|CO|CT|DC|GA|IL|LA|MA|NC|NH|NJ|NM|NY|OR|TX|UT|WA,True
9,9,6,983,21,AL|CT|DE|FL|GA|IL|IN|KS|KY|LA|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WI,True
9,9,7,983,0,,False
9,9,8,983,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
9,9,9,983,27,AZ|CA|CO|CT|DC|FL|GA|IL|IN|MA|MI|MN|MO|NC|NJ|NV|NY|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
9,9,10,983,2,CA|WA,True
9,9,11,983,20,AZ|CA|FL|GA|HI|IL|LA|MD|MN|MO|MS|NC|NY|OH|OR|PA|SC|TX|UT|WA,True
9,9,12,983,5,CA|NV|PA|UT|WA,True
9,9,13,983,0,,False
9,9,14,983,0,,False
9,9,15,983,0,,False
9,9,16,983,0,,False
9,9,17,983,0,,False
9,9,18,983,0,,False
10,10,1,338,0,,False
10,10,2,338,0,,False
10,10,3,338,0,,False
10,10,4,338,1,AL,True
10,10,5,338,13,AL|AZ|CA|FL|GA|IL|LA|MS|NJ|NY|OR|TX|WA,True
10,10,6,338,25,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WV,True
10,10,7,338,0,,False
10,10,8,338,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
10,10,9,338,32,AR|AZ|CA|CO|CT|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|MN|MS|NC|NJ|NV|NY|OH|OK|OR|PA|SC|TN|TX|VA|WA|WI,True
10,10,10,338,3,CT|FL|TX,True
10,10,11,338,20,AL|AR|AZ|CA|DE|FL|GA|IL|LA|MA|MD|MN|MS|NC|NJ|NY|OH|SC|TX|VA,True
10,10,12,338,4,FL|LA|PA|TX,True
10,10,13,338,0,,False
10,10,14,338,0,,False
10,10,15,338,0,,False
10,10,16,338,0,,False
10,10,17,338,0,,False
10,10,18,338,0,,False
11,10,1,336,0,,False
11,10,2,336,0,,False
11,10,3,336,0,,False
11,10,4,336,2,AL|FL,True
11,10,5,336,18,AL|AZ|CA|CO|FL|GA|IL|LA|MA|MI|NC|NJ|NY|OR|PA|TX|UT|VA,True
11,10,6,336,26,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
11,10,7,336,0,,False
11,10,8,336,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
11,10,9,336,30,AL|AR|AZ|CA|CT|DE|FL|GA|IL|IN|KS|KY|LA|MA|MI|MO|MS|NC|NH|NJ|NV|NY|OH|OK|OR|PA|SC|TN|TX|VA,True
11,10,10,336,5,CT|DC|FL|IL|TX,True
11,10,11,336,16,CA|DE|FL|GA|IL|MA|MD|MN|NC|NJ|NY|OH|SC|TN|TX|WA,True
11,10,12,336,4,AL|FL|PA|TX,True
11,10,13,336,0,,False
